Steppingstone sampler:,D,I,LogBF
Log marginal likelihood:,-3426.959176,-3440.111972,26.305592
Log marginal likelihood:,-3401.516683,-3413.138833,23.2443
Log marginal likelihood:,-3430.549211,-3441.391205,21.683988
Log marginal likelihood:,-3367.530316,-3378.103493,21.146354
Log marginal likelihood:,-3386.402905,-3395.81908,18.83235
Log marginal likelihood:,-3448.812934,-3458.10663,18.587392
Log marginal likelihood:,-3344.203607,-3351.739919,15.072624
Log marginal likelihood:,-3435.338578,-3448.521714,26.366272
Log marginal likelihood:,-3367.323149,-3380.77892,26.911542
Log marginal likelihood:,-3436.483762,-3446.661309,20.355094
Log marginal likelihood:,-3372.270292,-3389.341043,34.141502
Log marginal likelihood:,-3378.411185,-3381.756386,6.690402
Log marginal likelihood:,-3388.359907,-3399.727071,22.734328
Log marginal likelihood:,-3422.814615,-3434.704221,23.779212
Log marginal likelihood:,-3418.323498,-3427.050818,17.45464
Log marginal likelihood:,-3423.944792,-3436.651693,25.413802
Log marginal likelihood:,-3450.865212,-3462.266782,22.80314
Log marginal likelihood:,-3469.238209,-3486.40156,34.326702
Log marginal likelihood:,-3433.986481,-3454.635811,41.29866
Log marginal likelihood:,-3438.979835,-3455.388786,32.817902
Log marginal likelihood:,-3439.496553,-3445.900524,12.807942
Log marginal likelihood:,-3443.489384,-3459.842971,32.707174
Log marginal likelihood:,-3379.483589,-3392.316527,25.665876
Log marginal likelihood:,-3447.09113,-3455.618268,17.054276
Log marginal likelihood:,-3393.951239,-3406.287,24.671522
Log marginal likelihood:,-3419.091422,-3437.259722,36.3366
Log marginal likelihood:,-3469.61134,-3480.099891,20.977102
Log marginal likelihood:,-3385.595133,-3394.330952,17.471638
Log marginal likelihood:,-3439.855026,-3446.097188,12.484324
Log marginal likelihood:,-3374.199253,-3387.481372,26.564238
Log marginal likelihood:,-3387.102775,-3399.667182,25.128814
Log marginal likelihood:,-3418.804309,-3425.261483,12.914348
Log marginal likelihood:,-3446.176547,-3460.623246,28.893398
Log marginal likelihood:,-3420.757286,-3429.078456,16.64234
Log marginal likelihood:,-3501.592477,-3515.138776,27.092598
Log marginal likelihood:,-3428.893775,-3440.689375,23.5912
Log marginal likelihood:,-3374.286049,-3381.431292,14.290486
Log marginal likelihood:,-3495.466788,-3503.631354,16.329132
Log marginal likelihood:,-3403.162805,-3420.317182,34.308754
Log marginal likelihood:,-3372.512496,-3389.497657,33.970322
Log marginal likelihood:,-3462.618355,-3477.378238,29.519766
Log marginal likelihood:,-3449.465881,-3464.211114,29.490466
Log marginal likelihood:,-3391.190754,-3393.705862,5.030216
Log marginal likelihood:,-3383.006644,-3397.301638,28.589988
Log marginal likelihood:,-3379.517699,-3395.028561,31.021724
