Steppingstone sampler:
        No Stones:                  100
        Start It:                   1010001
        It Per Stone:               10000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	7500	-82.606531	-82.606531
1	0.950747	7500	-81.430885	-164.037416
2	0.926679	7500	-80.131157	-244.168573
3	0.902980	7500	-79.067784	-323.236357
4	0.879648	7500	-77.870470	-401.106828
5	0.856682	7500	-76.854405	-477.961232
6	0.834079	7500	-75.298847	-553.260080
7	0.811838	7500	-74.133781	-627.393861
8	0.789957	7500	-72.948599	-700.342460
9	0.768433	7500	-71.838136	-772.180595
10	0.747266	7500	-70.686981	-842.867577
11	0.726452	7500	-69.488403	-912.355980
12	0.705989	7500	-68.388215	-980.744195
13	0.685877	7500	-67.137709	-1047.881904
14	0.666112	7500	-66.132831	-1114.014736
15	0.646693	7500	-65.116856	-1179.131592
16	0.627618	7500	-63.774550	-1242.906142
17	0.608884	7500	-62.771196	-1305.677338
18	0.590490	7500	-61.692981	-1367.370319
19	0.572433	7500	-60.552670	-1427.922989
20	0.554712	7500	-59.354394	-1487.277382
21	0.537324	7500	-58.281486	-1545.558868
22	0.520268	7500	-57.226371	-1602.785239
23	0.503540	7500	-56.123930	-1658.909169
24	0.487139	7500	-55.028029	-1713.937198
25	0.471063	7500	-53.944039	-1767.881237
26	0.455310	7500	-52.861512	-1820.742749
27	0.439877	7500	-51.714328	-1872.457077
28	0.424762	7500	-50.721891	-1923.178967
29	0.409963	7500	-49.661293	-1972.840261
30	0.395478	7500	-48.605546	-2021.445806
31	0.381305	7500	-47.567663	-2069.013469
32	0.367440	7500	-46.526182	-2115.539651
33	0.353883	7500	-45.502760	-2161.042411
34	0.340630	7500	-44.486038	-2205.528449
35	0.327680	7500	-43.460151	-2248.988601
36	0.315030	7500	-42.460411	-2291.449012
37	0.302677	7500	-41.465911	-2332.914923
38	0.290619	7500	-40.474720	-2373.389643
39	0.278855	7500	-39.495456	-2412.885099
40	0.267381	7500	-38.520178	-2451.405277
41	0.256195	7500	-37.555279	-2488.960556
42	0.245294	7500	-36.601742	-2525.562298
43	0.234677	7500	-35.642842	-2561.205140
44	0.224340	7500	-34.714370	-2595.919510
45	0.214281	7500	-33.780674	-2629.700183
46	0.204498	7500	-33.004897	-2662.705081
47	0.194988	7500	-32.104750	-2694.809830
48	0.185749	7500	-31.192057	-2726.001888
49	0.176777	7500	-30.294416	-2756.296303
50	0.168070	7500	-29.389088	-2785.685392
51	0.159626	7500	-28.368462	-2814.053854
52	0.151441	7500	-27.504459	-2841.558313
53	0.143514	7500	-26.641919	-2868.200232
54	0.135841	7500	-25.791213	-2893.991444
55	0.128420	7500	-24.948646	-2918.940090
56	0.121247	7500	-24.106169	-2943.046258
