Steppingstone sampler:
        No Stones:                  100
        Start It:                   1010001
        It Per Stone:               10000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	7500	-83.307546	-83.307546
1	0.950747	7500	-82.058102	-165.365648
2	0.926679	7500	-80.877301	-246.242949
3	0.902980	7500	-79.673249	-325.916197
4	0.879648	7500	-78.376986	-404.293183
5	0.856682	7500	-77.192914	-481.486097
6	0.834079	7500	-76.034307	-557.520404
7	0.811838	7500	-74.807925	-632.328329
8	0.789957	7500	-73.624466	-705.952796
9	0.768433	7500	-72.372935	-778.325731
10	0.747266	7500	-71.224305	-849.550035
11	0.726452	7500	-70.133365	-919.683400
12	0.705989	7500	-68.920775	-988.604176
13	0.685877	7500	-67.715680	-1056.319856
14	0.666112	7500	-66.576073	-1122.895928
15	0.646693	7500	-65.378660	-1188.274589
16	0.627618	7500	-64.252624	-1252.527213
17	0.608884	7500	-63.158103	-1315.685316
18	0.590490	7500	-62.003805	-1377.689121
19	0.572433	7500	-60.853828	-1438.542949
20	0.554712	7500	-59.733593	-1498.276542
21	0.537324	7500	-58.607327	-1556.883869
22	0.520268	7500	-57.505383	-1614.389252
23	0.503540	7500	-56.393102	-1670.782354
24	0.487139	7500	-55.300522	-1726.082876
25	0.471063	7500	-54.197434	-1780.280310
26	0.455310	7500	-53.119284	-1833.399594
27	0.439877	7500	-52.022580	-1885.422174
28	0.424762	7500	-50.969614	-1936.391789
29	0.409963	7500	-49.910836	-1986.302625
30	0.395478	7500	-48.849787	-2035.152412
31	0.381305	7500	-47.793110	-2082.945521
32	0.367440	7500	-46.755815	-2129.701337
33	0.353883	7500	-45.723423	-2175.424759
34	0.340630	7500	-44.701773	-2220.126532
35	0.327680	7500	-43.678431	-2263.804963
36	0.315030	7500	-42.673270	-2306.478233
37	0.302677	7500	-41.672283	-2348.150516
38	0.290619	7500	-40.676912	-2388.827428
39	0.278855	7500	-39.689960	-2428.517387
40	0.267381	7500	-38.713316	-2467.230704
41	0.256195	7500	-37.738582	-2504.969285
42	0.245294	7500	-36.778784	-2541.748069
43	0.234677	7500	-35.824549	-2577.572619
44	0.224340	7500	-34.880059	-2612.452678
45	0.214281	7500	-33.944919	-2646.397596
46	0.204498	7500	-33.016179	-2679.413775
47	0.194988	7500	-32.100499	-2711.514275
48	0.185749	7500	-31.186365	-2742.700639
49	0.176777	7500	-30.285824	-2772.986463
50	0.168070	7500	-29.394760	-2802.381223
51	0.159626	7500	-28.528128	-2830.909350
52	0.151441	7500	-27.638350	-2858.547700
53	0.143514	7500	-26.772304	-2885.320005
54	0.135841	7500	-25.912920	-2911.232925
55	0.128420	7500	-25.277779	-2936.510704
56	0.121247	7500	-24.233530	-2960.744234
57	0.114320	7500	-23.411332	-2984.155567
58	0.107637	7500	-22.591074	-3006.746640
59	0.101193	7500	-21.921451	-3028.668091
60	0.094986	7500	-21.019956	-3049.688047
61	0.089014	7500	-20.203931	-3069.891978
62	0.083273	7500	-19.446111	-3089.338089
63	0.077760	7500	-18.803291	-3108.141381
64	0.072472	7500	-18.087231	-3126.228612
65	0.067406	7500	-17.386166	-3143.614779
66	0.062558	7500	-16.673510	-3160.288288
67	0.057926	7500	-15.961888	-3176.250176
68	0.053506	7500	-15.334900	-3191.585077
69	0.049295	7500	-14.621308	-3206.206385
70	0.045289	7500	-13.938878	-3220.145263
71	0.041485	7500	-13.257392	-3233.402655
72	0.037880	7500	-12.563111	-3245.965767
73	0.034469	7500	-11.885179	-3257.850946
74	0.031250	7500	-11.229289	-3269.080235
75	0.028218	7500	-10.580228	-3279.660463
76	0.025370	7500	-9.954486	-3289.614949
77	0.022702	7500	-9.328337	-3298.943286
78	0.020209	7500	-8.720431	-3307.663718
79	0.017889	7500	-8.126309	-3315.790027
80	0.015736	7500	-7.551294	-3323.341321
81	0.013746	7500	-6.984568	-3330.325889
82	0.011916	7500	-6.437757	-3336.763646
83	0.010240	7500	-5.899982	-3342.663628
84	0.008714	7500	-5.376960	-3348.040588
85	0.007334	7500	-4.886382	-3352.926971
86	0.006093	7500	-4.411242	-3357.338213
87	0.004988	7500	-3.951386	-3361.289599
88	0.004013	7500	-3.501737	-3364.791336
89	0.003162	7500	-3.098296	-3367.889632
90	0.002430	7500	-2.697026	-3370.586657
91	0.001810	7500	-2.351583	-3372.938241
92	0.001296	7500	-2.051866	-3374.990106
93	0.000882	7500	-1.801936	-3376.792042
94	0.000559	7500	-1.588336	-3378.380378
95	0.000320	7500	-1.284877	-3379.665255
96	0.000156	7500	-0.960237	-3380.625492
97	0.000057	7500	-0.603700	-3381.229192
98	0.000010	7500	-0.295046	-3381.524238
99	0.000000	7500	-0.062537	-3381.586775
Log marginal likelihood:	-3381.586775
0	0.975187	7500	-82.931029	-82.931029
1	0.950747	7500	-81.691158	-164.622186
2	0.926679	7500	-80.456325	-245.078511
3	0.902980	7500	-79.266084	-324.344595
4	0.879648	7500	-78.037428	-402.382024
5	0.856682	7500	-76.808725	-479.190749
6	0.834079	7500	-75.602289	-554.793037
7	0.811838	7500	-74.433749	-629.226787
8	0.789957	7500	-73.201984	-702.428770
9	0.768433	7500	-72.038754	-774.467525
