Tree,Dependent,Independent,LogBF
1,-3369.036622,-3381.586775,25.100306
2,-3354.664212,-3369.964525,30.600626
3,-3379.942011,-3392.156438,24.428854
4,-3312.735451,-3329.155596,32.84029
5,-3340.722433,-3351.520558,21.59625
6,-3403.686711,-3415.287218,23.201014
7,-3295.002733,-3302.572944,15.140422
8,-3388.720084,-3399.938912,22.437656
9,-3317.501778,-3333.754512,32.505468
10,-3388.442877,-3397.526973,18.168192
11,-3324.941038,-3343.752474,37.622872
12,-3329.540974,-3331.86961,4.657272
13,-3337.929267,-3350.99316,26.127786
14,-3382.189606,-3393.371909,22.364606
15,-3377.115472,-3383.346153,12.461362
16,-3374.812722,-3385.261389,20.897334
17,-3404.997728,-3417.509862,25.024268
18,-3411.371787,-3432.00876,41.273946
19,-3376.158914,-3398.447091,44.576354
20,-3375.874776,-3393.643719,35.537886
21,-3391.752532,-3399.494805,15.484546
22,-3392.109024,-3409.306813,34.395578
23,-3330.869118,-3344.260353,26.78247
24,-3391.24481,-3404.551128,26.612636
25,-3342.481611,-3359.988948,35.014674
26,-3363.823197,-3382.692462,37.73853
27,-3415.91855,-3427.766253,23.695406
28,-3339.668611,-3347.133655,14.930088
29,-3392.035834,-3399.050237,14.028806
30,-3322.413495,-3335.179164,25.531338
31,-3353.81311,-3366.441219,25.256218
32,-3368.335503,-3378.312001,19.952996
33,-3385.142119,-3404.439452,38.594666
34,-3372.187195,-3384.096598,23.818806
35,-3441.677733,-3456.937278,30.51909
36,-3382.547525,-3395.593032,26.091014
37,-3313.445095,-3321.667112,16.444034
38,-3439.20521,-3450.922526,23.434632
39,-3344.609289,-3366.704675,44.190772
40,-3317.287492,-3332.859292,31.1436
41,-3413.101543,-3428.968123,31.73316
42,-3383.765091,-3398.110687,28.691192
43,-3341.856376,-3346.462564,9.212376
44,-3335.029453,-3352.048251,34.037596
45,-3320.674253,-3337.985559,34.622612
46,-3396.566783,-3414.567862,36.002158
47,-3314.241758,-3323.775713,19.06791
48,-3363.420457,-3379.919782,32.99865
49,-3371.788235,-3391.345782,39.115094
50,-3407.979249,-3425.358302,34.758106
51,-3425.321747,-3437.256392,23.86929
52,-3310.83773,-3316.658975,11.64249
53,-3406.597761,-3414.566957,15.938392
54,-3379.355554,-3394.379942,30.048776
55,-3375.624237,-3384.412169,17.575864
56,-3319.711638,-3324.52575,9.628224
57,-3393.263632,-3404.78794,23.048616
58,-3318.742319,-3338.43599,39.387342
59,-3389.485204,-3406.135485,33.300562
60,-3348.19201,-3354.225231,12.066442
61,-3350.298306,-3363.842534,27.088456
62,-3333.483256,-3335.426337,3.886162
63,-3353.274181,-3367.589616,28.63087
64,-3428.631105,-3443.363748,29.465286
65,-3386.276059,-3397.667199,22.78228
66,-3377.567635,-3378.968685,2.8021
67,-3376.49973,-3387.120218,21.240976
68,-3432.635599,-3452.303531,39.335864
69,-3346.077997,-3364.034584,35.913174
70,-3404.828727,-3423.594268,37.531082
71,-3360.458084,-3372.778976,24.641784
72,-3416.609463,-3423.901747,14.584568
73,-3398.893716,-3409.619794,21.452156
74,-3322.399814,-3331.848449,18.89727
75,-3396.460311,-3410.330264,27.739906
76,-3367.69524,-3378.447525,21.50457
77,-3383.798765,-3396.093051,24.588572
78,-3426.677178,-3448.995815,44.637274
79,-3345.147792,-3353.695482,17.09538
80,-3386.085504,-3411.327246,50.483484
81,-3323.344415,-3336.625923,26.563016
82,-3286.238383,-3296.787473,21.09818
83,-3439.654948,-3446.616814,13.923732
84,-3391.891006,-3400.566322,17.350632
85,-3328.361686,-3338.423114,20.122856
86,-3371.742846,-3388.541497,33.597302
87,-3330.4823,-3341.664204,22.363808
88,-3309.765802,-3322.815683,26.099762
89,-3371.725018,-3378.003678,12.55732
90,-3387.166219,-3403.479175,32.625912
91,-3334.5153,-3343.276219,17.521838
92,-3340.520203,-3347.466577,13.892748
93,-3409.725759,-3426.335573,33.219628
94,-3398.192137,-3412.984411,29.584548
95,-3362.438174,-3375.479324,26.0823
96,-3355.596405,-3372.723813,34.254816
97,-3349.524847,-3363.694578,28.339462
98,-3318.35805,-3333.640689,30.565278
99,-3381.440144,-3392.954709,23.02913
100,-3373.052252,-3387.912797,29.72109
101,-3385.237104,-3397.288182,24.102156
102,-3370.862842,-3379.89014,18.054596
103,-3349.400202,-3362.074807,25.34921
104,-3370.214129,-3376.875635,13.323012
105,-3420.146372,-3426.791395,13.290046
106,-3318.411481,-3331.666117,26.509272
107,-3415.749661,-3432.827925,34.156528
108,-3391.218669,-3409.820092,37.202846
109,-3365.201701,-3372.149307,13.895212
110,-3370.039714,-3376.706693,13.333958
111,-3420.444835,-3440.148293,39.406916
112,-3342.052958,-3362.718222,41.330528
113,-3402.597062,-3417.620889,30.047654
114,-3331.64777,-3340.480372,17.665204
115,-3391.559973,-3403.439634,23.759322
116,-3432.027693,-3451.950123,39.84486
117,-3374.976849,-3386.581618,23.209538
118,-3329.555409,-3343.50967,27.908522
119,-3380.994397,-3400.032223,38.075652
120,-3448.120019,-3457.080746,17.921454
121,-3395.101058,-3399.15452,8.106924
122,-3318.162338,-3330.84967,25.374664
123,-3332.244534,-3344.285198,24.081328
124,-3437.6463,-3462.628255,49.96391
125,-3432.372682,-3447.042929,29.340494
126,-3388.960102,-3400.327233,22.734262
127,-3340.698821,-3353.397547,25.397452
128,-3347.049297,-3362.327666,30.556738
129,-3385.115608,-3395.219865,20.208514
130,-3301.67525,-3307.420287,11.490074
131,-3386.174703,-3398.223588,24.09777
132,-3414.823483,-3427.28942,24.931874
133,-3404.435523,-3424.524531,40.178016
134,-3374.003044,-3383.255387,18.504686
135,-3342.592474,-3356.129433,27.073918
136,-3398.283422,-3414.265221,31.963598
137,-3395.78608,-3414.04509,36.51802
138,-3322.690987,-3337.385705,29.389436
139,-3349.774959,-3360.833562,22.117206
140,-3344.254508,-3366.146965,43.784914
141,-3374.296771,-3391.010598,33.427654
142,-3362.176048,-3377.30897,30.265844
143,-3310.209002,-3332.767914,45.117824
144,-3363.83884,-3377.64025,27.60282
145,-3385.260878,-3396.715929,22.910102
146,-3322.136741,-3337.970231,31.66698
147,-3378.30789,-3392.998175,29.38057
148,-3378.398826,-3393.390428,29.983204
149,-3352.471053,-3361.358265,17.774424
150,-3400.746421,-3414.744873,27.996904
151,-3402.980137,-3414.958596,23.956918
152,-3400.463325,-3410.508111,20.089572
153,-3367.178885,-3383.796717,33.235664
154,-3338.151547,-3350.750238,25.197382
155,-3374.79276,-3392.84941,36.1133
156,-3328.4698,-3337.3126,17.6856
157,-3419.140101,-3433.51266,28.745118
158,-3373.748855,-3380.700166,13.902622
159,-3380.708177,-3391.375062,21.33377
160,-3387.89928,-3401.193407,26.588254
161,-3364.783779,-3378.436384,27.30521
162,-3408.853351,-3427.057224,36.407746
163,-3376.844128,-3390.815682,27.943108
164,-3371.460584,-3376.069624,9.21808
165,-3366.448182,-3382.73995,32.583536
166,-3320.142671,-3336.968917,33.652492
167,-3381.637815,-3403.346135,43.41664
168,-3322.956631,-3331.376196,16.83913
169,-3400.334259,-3418.464895,36.261272
170,-3391.373963,-3399.600577,16.453228
171,-3371.662685,-3391.121689,38.918008
172,-3421.870866,-3443.319158,42.896584
173,-3381.661585,-3400.257595,37.19202
174,-3406.897849,-3422.448331,31.100964
175,-3305.722663,-3313.678589,15.911852
176,-3358.18073,-3379.857844,43.354228
177,-3353.290228,-3366.360448,26.14044
178,-3374.461218,-3390.306134,31.689832
179,-3420.198607,-3431.315732,22.23425
180,-3359.482211,-3371.227826,23.49123
181,-3372.230454,-3378.107067,11.753226
182,-3366.613645,-3375.938742,18.650194
183,-3390.917824,-3404.3098,26.783952
184,-3370.532189,-3383.627787,26.191196
185,-3344.35682,-3362.535291,36.356942
186,-3413.209818,-3424.325981,22.232326
187,-3396.623074,-3417.440931,41.635714
188,-3357.610248,-3365.899995,16.579494
189,-3389.53022,-3406.760696,34.460952
190,-3366.749996,-3384.385024,35.270056
191,-3335.848185,-3350.46202,29.22767
192,-3437.438653,-3459.91869,44.960074
193,-3374.034122,-3383.188989,18.309734
