state	power	likelihood
300	1	-56935.9
400	1	-56937.3
500	1	-56935.3
600	1	-56938.6
700	1	-56933.7
800	1	-56935.9
900	1	-56937.6
1000	1	-56936.3
300	0.903921	-56936.5
400	0.903921	-56936.3
500	0.903921	-56937.3
600	0.903921	-56938.6
700	0.903921	-56937.5
800	0.903921	-56935.6
900	0.903921	-56935.4
1000	0.903921	-56938.7
300	0.815373	-56939.1
400	0.815373	-56936.2
500	0.815373	-56936.9
600	0.815373	-56936.1
700	0.815373	-56937.8
800	0.815373	-56940
900	0.815373	-56938.6
1000	0.815373	-56941.4
300	0.733904	-56944
400	0.733904	-56936.9
500	0.733904	-56936.9
600	0.733904	-56937.8
700	0.733904	-56935.1
800	0.733904	-56936.3
900	0.733904	-56936.8
1000	0.733904	-56943
300	0.659082	-56943
400	0.659082	-56937.3
500	0.659082	-56940.1
600	0.659082	-56938.1
700	0.659082	-56937
800	0.659082	-56939
900	0.659082	-56938
1000	0.659082	-56942.4
300	0.59049	-56940.7
400	0.59049	-56936.1
500	0.59049	-56944.2
600	0.59049	-56941.7
700	0.59049	-56936.7
800	0.59049	-56936.6
900	0.59049	-56940
1000	0.59049	-56941.7
300	0.527732	-56940.7
400	0.527732	-56941
500	0.527732	-56937.8
600	0.527732	-56938.2
700	0.527732	-56939.4
800	0.527732	-56938
900	0.527732	-56941.4
1000	0.527732	-56941.1
300	0.470427	-56943.1
400	0.470427	-56942.1
500	0.470427	-56939.3
600	0.470427	-56940.7
700	0.470427	-56947.7
800	0.470427	-56938.7
900	0.470427	-56940.4
1000	0.470427	-56944.4
300	0.418212	-56937.4
400	0.418212	-56941.2
500	0.418212	-56939.1
600	0.418212	-56939.1
700	0.418212	-56954.2
800	0.418212	-56943.2
900	0.418212	-56939.8
1000	0.418212	-56948
300	0.37074	-56938.8
400	0.37074	-56940
500	0.37074	-56955
600	0.37074	-56946.5
700	0.37074	-56940.4
800	0.37074	-56937.5
900	0.37074	-56939.1
1000	0.37074	-56940
300	0.32768	-56937.7
400	0.32768	-56941.1
500	0.32768	-56942.4
600	0.32768	-56950.8
700	0.32768	-56949.3
800	0.32768	-56942.3
900	0.32768	-56944.7
1000	0.32768	-56944.7
300	0.288717	-56950.7
400	0.288717	-56942.5
500	0.288717	-56942.5
600	0.288717	-56938.1
700	0.288717	-56944
800	0.288717	-56955.3
900	0.288717	-56938.3
1000	0.288717	-56944.9
300	0.253553	-56951.5
400	0.253553	-56947.9
500	0.253553	-56942.2
600	0.253553	-56941.2
700	0.253553	-56954.8
800	0.253553	-56959.4
900	0.253553	-56944.6
1000	0.253553	-56946
300	0.221901	-56951.7
400	0.221901	-56956.4
500	0.221901	-56956.6
600	0.221901	-56957.9
700	0.221901	-56945.6
800	0.221901	-56954.6
900	0.221901	-56941.3
1000	0.221901	-56940.3
300	0.193492	-56949.1
400	0.193492	-56949.5
500	0.193492	-56957.4
600	0.193492	-56955.7
700	0.193492	-56949.9
800	0.193492	-56946.6
900	0.193492	-56945.2
1000	0.193492	-56961
300	0.16807	-56960.8
400	0.16807	-56969.6
500	0.16807	-56956.8
600	0.16807	-56940.4
700	0.16807	-56955.5
800	0.16807	-56956.1
900	0.16807	-56970.2
1000	0.16807	-56950.2
300	0.145393	-56964.3
400	0.145393	-56963.7
500	0.145393	-56951.7
600	0.145393	-56939.3
700	0.145393	-56965.1
800	0.145393	-56943.6
900	0.145393	-57001
1000	0.145393	-56952.2
300	0.125233	-56966.6
400	0.125233	-56945.5
500	0.125233	-56975.5
600	0.125233	-56970.2
700	0.125233	-56942.3
800	0.125233	-56994.9
900	0.125233	-56945.1
1000	0.125233	-56960.7
300	0.107374	-56985.1
400	0.107374	-56978.3
500	0.107374	-56966.3
600	0.107374	-56988.1
700	0.107374	-57023
800	0.107374	-57002.9
900	0.107374	-56954.6
1000	0.107374	-56952.7
300	0.0916133	-56949.8
400	0.0916133	-57012.6
500	0.0916133	-56971
600	0.0916133	-56973.8
700	0.0916133	-56995.6
800	0.0916133	-56947.1
900	0.0916133	-56939.1
1000	0.0916133	-56965.8
300	0.07776	-56964.1
400	0.07776	-56992.2
500	0.07776	-57017.3
600	0.07776	-56967.2
700	0.07776	-56962.6
800	0.07776	-56985.6
900	0.07776	-56973.2
1000	0.07776	-56996.4
300	0.0656357	-56997.6
400	0.0656357	-56981.2
500	0.0656357	-56993.3
600	0.0656357	-56981.1
700	0.0656357	-56979.2
800	0.0656357	-56971.9
900	0.0656357	-56996.4
1000	0.0656357	-56969.4
300	0.0550732	-56978.8
400	0.0550732	-56960.8
500	0.0550732	-56963.1
600	0.0550732	-56971.2
700	0.0550732	-56950.7
800	0.0550732	-57019.2
900	0.0550732	-57040.1
1000	0.0550732	-56959.3
300	0.0459165	-57000
400	0.0459165	-56990.8
500	0.0459165	-57012.2
600	0.0459165	-57044.5
700	0.0459165	-57017.9
800	0.0459165	-57018
900	0.0459165	-56993.6
1000	0.0459165	-56999.8
300	0.0380204	-56998
400	0.0380204	-56957.4
500	0.0380204	-56973.6
600	0.0380204	-56997.2
700	0.0380204	-56996.2
800	0.0380204	-57008.9
900	0.0380204	-57003.6
1000	0.0380204	-56977.4
300	0.03125	-57089.5
400	0.03125	-57078.5
500	0.03125	-56957.7
600	0.03125	-57106.1
700	0.03125	-56965.2
800	0.03125	-57102
900	0.03125	-57003.1
1000	0.03125	-57033.1
300	0.0254804	-56975.1
400	0.0254804	-57087.2
500	0.0254804	-56959.1
600	0.0254804	-56992.7
700	0.0254804	-56977.3
800	0.0254804	-56996.3
900	0.0254804	-57004.9
1000	0.0254804	-56993.9
300	0.0205963	-57107.9
400	0.0205963	-57181.3
500	0.0205963	-57011.9
600	0.0205963	-57115.4
700	0.0205963	-57079
800	0.0205963	-57000.8
900	0.0205963	-57078.8
1000	0.0205963	-57039.4
300	0.0164916	-57083.2
400	0.0164916	-57092.9
500	0.0164916	-57052.6
600	0.0164916	-57290.3
700	0.0164916	-57106.5
800	0.0164916	-57343.6
900	0.0164916	-57151.8
1000	0.0164916	-57072.1
300	0.0130691	-57084
400	0.0130691	-57323.2
500	0.0130691	-57159.6
600	0.0130691	-57153.2
700	0.0130691	-57320.3
800	0.0130691	-57003.6
900	0.0130691	-57158.3
1000	0.0130691	-57087.5
300	0.01024	-57243
400	0.01024	-57356.3
500	0.01024	-57205.9
600	0.01024	-57235.6
700	0.01024	-57229.3
800	0.01024	-57106
900	0.01024	-57209.6
1000	0.01024	-57265.7
300	0.00792352	-57058.9
400	0.00792352	-57147.4
500	0.00792352	-57042.9
600	0.00792352	-57482.9
700	0.00792352	-57535.3
800	0.00792352	-57006.6
900	0.00792352	-57328
1000	0.00792352	-57061.1
300	0.00604662	-57025.3
400	0.00604662	-57266.6
500	0.00604662	-57107.7
600	0.00604662	-57199.9
700	0.00604662	-57073.2
800	0.00604662	-57238.6
900	0.00604662	-57125.9
1000	0.00604662	-57514.4
300	0.00454354	-57151.7
400	0.00454354	-57284
500	0.00454354	-57281.1
600	0.00454354	-57216.6
700	0.00454354	-57264.9
800	0.00454354	-57420.2
900	0.00454354	-57464.1
1000	0.00454354	-57381.3
300	0.00335544	-57234
400	0.00335544	-57349.4
500	0.00335544	-57164.8
600	0.00335544	-57287.3
700	0.00335544	-57422.9
800	0.00335544	-57031.1
900	0.00335544	-57801.5
1000	0.00335544	-57085
300	0.00243	-59767.2
400	0.00243	-57177.9
500	0.00243	-59408.7
600	0.00243	-57558
700	0.00243	-57706.9
800	0.00243	-57487.1
900	0.00243	-59112.9
1000	0.00243	-58024.1
