state	power	likelihood
300	1	-56383.5
400	1	-56382.1
500	1	-56383.2
600	1	-56382.1
700	1	-56379.9
800	1	-56382.5
900	1	-56382.5
1000	1	-56383
300	0.903921	-56378
400	0.903921	-56386.9
500	0.903921	-56381.6
600	0.903921	-56383.8
700	0.903921	-56387.7
800	0.903921	-56381.9
900	0.903921	-56380
1000	0.903921	-56383.6
300	0.815373	-56380.9
400	0.815373	-56383.2
500	0.815373	-56381.3
600	0.815373	-56380.1
700	0.815373	-56388.6
800	0.815373	-56381.9
900	0.815373	-56380.5
1000	0.815373	-56387.1
300	0.733904	-56385.3
400	0.733904	-56386.2
500	0.733904	-56384.1
600	0.733904	-56386.1
700	0.733904	-56381.9
800	0.733904	-56383
900	0.733904	-56382.4
1000	0.733904	-56381.1
300	0.659082	-56378.6
400	0.659082	-56385.3
500	0.659082	-56383.5
600	0.659082	-56385.2
700	0.659082	-56381.4
800	0.659082	-56390
900	0.659082	-56387.9
1000	0.659082	-56383.7
300	0.59049	-56385.5
400	0.59049	-56384
500	0.59049	-56381.9
600	0.59049	-56380.6
700	0.59049	-56381.1
800	0.59049	-56388
900	0.59049	-56379.8
1000	0.59049	-56388.1
300	0.527732	-56383.8
400	0.527732	-56381.4
500	0.527732	-56385.2
600	0.527732	-56391
700	0.527732	-56383.6
800	0.527732	-56385.1
900	0.527732	-56390
1000	0.527732	-56384.6
300	0.470427	-56387.2
400	0.470427	-56387.5
500	0.470427	-56391.6
600	0.470427	-56386
700	0.470427	-56390.1
800	0.470427	-56383.9
900	0.470427	-56395
1000	0.470427	-56385.5
300	0.418212	-56386.7
400	0.418212	-56383.3
500	0.418212	-56389.1
600	0.418212	-56395.1
700	0.418212	-56392.4
800	0.418212	-56382.8
900	0.418212	-56392.3
1000	0.418212	-56385.1
300	0.37074	-56381.1
400	0.37074	-56384.2
500	0.37074	-56386.8
600	0.37074	-56385.3
700	0.37074	-56392.8
800	0.37074	-56397.3
900	0.37074	-56386.8
1000	0.37074	-56384.3
300	0.32768	-56395.9
400	0.32768	-56392.5
500	0.32768	-56399.1
600	0.32768	-56384.3
700	0.32768	-56396.2
800	0.32768	-56395.5
900	0.32768	-56387.2
1000	0.32768	-56396.6
300	0.288717	-56388.9
400	0.288717	-56390.7
500	0.288717	-56395.5
600	0.288717	-56434.6
700	0.288717	-56382.8
800	0.288717	-56394.8
900	0.288717	-56392.3
1000	0.288717	-56404.8
300	0.253553	-56394.5
400	0.253553	-56390
500	0.253553	-56392.4
600	0.253553	-56404.5
700	0.253553	-56387
800	0.253553	-56401.3
900	0.253553	-56398.9
1000	0.253553	-56387.3
300	0.221901	-56385.7
400	0.221901	-56387.2
500	0.221901	-56393.9
600	0.221901	-56403
700	0.221901	-56389.9
800	0.221901	-56385.8
900	0.221901	-56388.7
1000	0.221901	-56392.5
300	0.193492	-56392.7
400	0.193492	-56401.6
500	0.193492	-56397.9
600	0.193492	-56387.8
700	0.193492	-56394.6
800	0.193492	-56392.2
900	0.193492	-56399.3
1000	0.193492	-56398.2
300	0.16807	-56411.3
400	0.16807	-56388
500	0.16807	-56389
600	0.16807	-56402.3
700	0.16807	-56387.1
800	0.16807	-56390.9
900	0.16807	-56398.5
1000	0.16807	-56397
300	0.145393	-56413.5
400	0.145393	-56405.2
500	0.145393	-56398.3
600	0.145393	-56397.4
700	0.145393	-56388.5
800	0.145393	-56408.8
900	0.145393	-56388.5
1000	0.145393	-56389
300	0.125233	-56405.9
400	0.125233	-56402.3
500	0.125233	-56392.4
600	0.125233	-56387.8
700	0.125233	-56402.3
800	0.125233	-56387.4
900	0.125233	-56400.9
1000	0.125233	-56394.4
300	0.107374	-56417.1
400	0.107374	-56400.6
500	0.107374	-56408.3
600	0.107374	-56399.1
700	0.107374	-56405.9
800	0.107374	-56411
900	0.107374	-56409.5
1000	0.107374	-56396.1
300	0.0916133	-56409.9
400	0.0916133	-56409.8
500	0.0916133	-56431.7
600	0.0916133	-56418.3
700	0.0916133	-56405.7
800	0.0916133	-56412
900	0.0916133	-56449.6
1000	0.0916133	-56394.8
300	0.07776	-56421.1
400	0.07776	-56411
500	0.07776	-56417
600	0.07776	-56411.7
700	0.07776	-56395.1
800	0.07776	-56405.3
900	0.07776	-56418.7
1000	0.07776	-56445.7
300	0.0656357	-56421.6
400	0.0656357	-56422
