state	power	likelihood
300	1	-56368.9
400	1	-56374
500	1	-56370.1
600	1	-56371.3
700	1	-56370.8
800	1	-56370.4
900	1	-56369.5
1000	1	-56370.5
300	0.903921	-56373.8
400	0.903921	-56369.5
500	0.903921	-56373.8
600	0.903921	-56369.2
700	0.903921	-56372.5
800	0.903921	-56373.6
900	0.903921	-56369.6
1000	0.903921	-56373.2
300	0.815373	-56371.8
400	0.815373	-56376.8
500	0.815373	-56378.8
600	0.815373	-56373.5
700	0.815373	-56369.8
800	0.815373	-56373.4
900	0.815373	-56369.7
1000	0.815373	-56370.5
300	0.733904	-56385.2
400	0.733904	-56376.7
500	0.733904	-56372.6
600	0.733904	-56375
700	0.733904	-56376.7
800	0.733904	-56372.7
900	0.733904	-56372.3
1000	0.733904	-56375.1
300	0.659082	-56371.7
400	0.659082	-56375.9
500	0.659082	-56373.3
600	0.659082	-56375.9
700	0.659082	-56372.1
800	0.659082	-56373.5
900	0.659082	-56375
1000	0.659082	-56371.7
300	0.59049	-56373.6
400	0.59049	-56375.7
500	0.59049	-56373
600	0.59049	-56373.5
700	0.59049	-56378.6
800	0.59049	-56375.3
900	0.59049	-56370.9
1000	0.59049	-56373.8
300	0.527732	-56378.5
400	0.527732	-56378.6
500	0.527732	-56370.9
600	0.527732	-56373.9
700	0.527732	-56376.8
800	0.527732	-56378.8
900	0.527732	-56378
1000	0.527732	-56379.1
300	0.470427	-56374.4
400	0.470427	-56374.1
500	0.470427	-56378.8
600	0.470427	-56376.1
700	0.470427	-56381.2
800	0.470427	-56372.4
900	0.470427	-56382.5
1000	0.470427	-56375.2
300	0.418212	-56375.3
400	0.418212	-56374.6
500	0.418212	-56374.6
600	0.418212	-56377.3
700	0.418212	-56375.4
800	0.418212	-56372.9
900	0.418212	-56378.3
1000	0.418212	-56375.4
300	0.37074	-56386.3
400	0.37074	-56379.3
500	0.37074	-56374.9
600	0.37074	-56379.5
700	0.37074	-56376.7
800	0.37074	-56377.7
900	0.37074	-56379.9
1000	0.37074	-56374.2
300	0.32768	-56383.6
400	0.32768	-56381.9
500	0.32768	-56381.9
600	0.32768	-56375.4
700	0.32768	-56374.1
800	0.32768	-56382.7
900	0.32768	-56387.4
1000	0.32768	-56384.2
300	0.288717	-56375.6
400	0.288717	-56385.5
500	0.288717	-56380.1
600	0.288717	-56375.7
700	0.288717	-56377.8
800	0.288717	-56398.7
900	0.288717	-56387
1000	0.288717	-56378.9
300	0.253553	-56382
400	0.253553	-56375.6
500	0.253553	-56414.7
600	0.253553	-56374.5
700	0.253553	-56382.3
800	0.253553	-56375
900	0.253553	-56379.2
1000	0.253553	-56392
300	0.221901	-56394.7
400	0.221901	-56397.5
500	0.221901	-56398.9
600	0.221901	-56385.9
700	0.221901	-56385.1
800	0.221901	-56389.5
900	0.221901	-56392.6
1000	0.221901	-56379.2
300	0.193492	-56383.5
400	0.193492	-56377.2
500	0.193492	-56393.8
600	0.193492	-56392.8
700	0.193492	-56379.9
800	0.193492	-56401.1
900	0.193492	-56388.1
1000	0.193492	-56373.5
300	0.16807	-56391.2
400	0.16807	-56381.9
500	0.16807	-56388.4
600	0.16807	-56385
700	0.16807	-56385.3
800	0.16807	-56395.7
900	0.16807	-56395.1
1000	0.16807	-56392.3
300	0.145393	-56393.7
400	0.145393	-56382.6
500	0.145393	-56381
600	0.145393	-56375.2
700	0.145393	-56385.5
800	0.145393	-56402.8
900	0.145393	-56393.3
1000	0.145393	-56408.7
300	0.125233	-56381.1
400	0.125233	-56384.4
500	0.125233	-56394.7
600	0.125233	-56393.5
700	0.125233	-56394.3
800	0.125233	-56386.7
900	0.125233	-56434.2
1000	0.125233	-56389.4
300	0.107374	-56414.4
400	0.107374	-56461.3
500	0.107374	-56438.2
600	0.107374	-56388.7
700	0.107374	-56399.9
800	0.107374	-56403.6
900	0.107374	-56450.8
1000	0.107374	-56386.5
300	0.0916133	-56401.9
400	0.0916133	-56458.3
500	0.0916133	-56446.2
600	0.0916133	-56436.8
700	0.0916133	-56502.6
800	0.0916133	-56391.1
900	0.0916133	-56408
1000	0.0916133	-56437.2
300	0.07776	-56390.6
400	0.07776	-56400
500	0.07776	-56453.5
600	0.07776	-56401.8
700	0.07776	-56425.4
800	0.07776	-56391.8
900	0.07776	-56437
1000	0.07776	-56438
300	0.0656357	-56401.3
400	0.0656357	-56431.6
500	0.0656357	-56387.3
600	0.0656357	-56390.8
700	0.0656357	-56412.6
800	0.0656357	-56440.4
900	0.0656357	-56417.4
1000	0.0656357	-56411.2
300	0.0550732	-56409.3
400	0.0550732	-56471
500	0.0550732	-56407.6
600	0.0550732	-56468.6
700	0.0550732	-56399.2
800	0.0550732	-56440.2
900	0.0550732	-56437.2
1000	0.0550732	-56429.3
300	0.0459165	-56515.7
400	0.0459165	-56528.8
500	0.0459165	-56427.8
600	0.0459165	-56467.5
700	0.0459165	-56519.6
800	0.0459165	-56498.1
900	0.0459165	-56568.6
