state	power	likelihood
300	1	-55817.2
400	1	-55815.8
500	1	-55815
600	1	-55815.7
700	1	-55817.5
800	1	-55818.8
900	1	-55816.8
1000	1	-55814
300	0.903921	-55819
400	0.903921	-55820.2
500	0.903921	-55822.3
600	0.903921	-55814.4
700	0.903921	-55815.2
800	0.903921	-55815.3
900	0.903921	-55818.5
1000	0.903921	-55816.9
300	0.815373	-55818.1
400	0.815373	-55817.8
500	0.815373	-55815.4
600	0.815373	-55820
700	0.815373	-55815.8
800	0.815373	-55818.8
900	0.815373	-55814.3
1000	0.815373	-55821.7
300	0.733904	-55818
400	0.733904	-55822.1
500	0.733904	-55818
600	0.733904	-55817.1
700	0.733904	-55820.2
800	0.733904	-55823.5
900	0.733904	-55820.1
1000	0.733904	-55817.6
300	0.659082	-55816.4
400	0.659082	-55817.3
500	0.659082	-55818.8
600	0.659082	-55816.6
700	0.659082	-55816.2
800	0.659082	-55815.1
900	0.659082	-55817.8
1000	0.659082	-55817.7
300	0.59049	-55821.5
400	0.59049	-55817.9
500	0.59049	-55821.8
600	0.59049	-55823.8
700	0.59049	-55824.8
800	0.59049	-55818.9
900	0.59049	-55819.4
1000	0.59049	-55816.9
300	0.527732	-55822
400	0.527732	-55822.9
500	0.527732	-55823.1
600	0.527732	-55819
700	0.527732	-55816.7
800	0.527732	-55820.8
900	0.527732	-55819.8
1000	0.527732	-55819.8
300	0.470427	-55828
400	0.470427	-55822.8
500	0.470427	-55817.2
600	0.470427	-55817.9
700	0.470427	-55820.1
800	0.470427	-55821.3
900	0.470427	-55824.9
1000	0.470427	-55816
300	0.418212	-55828.1
400	0.418212	-55821.6
500	0.418212	-55814.3
600	0.418212	-55829.1
700	0.418212	-55826.5
800	0.418212	-55813.7
900	0.418212	-55820.3
1000	0.418212	-55820.6
300	0.37074	-55828
400	0.37074	-55819.5
500	0.37074	-55825.3
600	0.37074	-55823.9
700	0.37074	-55826.9
800	0.37074	-55819.9
900	0.37074	-55826.1
1000	0.37074	-55819.5
300	0.32768	-55853.2
400	0.32768	-55821.2
500	0.32768	-55821.9
600	0.32768	-55831.3
700	0.32768	-55818.8
800	0.32768	-55842.2
900	0.32768	-55822.3
1000	0.32768	-55828.1
300	0.288717	-55836
400	0.288717	-55838.1
500	0.288717	-55825.9
600	0.288717	-55827.2
700	0.288717	-55828.1
800	0.288717	-55828.2
900	0.288717	-55819
1000	0.288717	-55825.6
300	0.253553	-55832.5
400	0.253553	-55843.3
500	0.253553	-55834
600	0.253553	-55829.4
700	0.253553	-55825.9
800	0.253553	-55846.3
900	0.253553	-55825.3
1000	0.253553	-55819.7
300	0.221901	-55835.3
400	0.221901	-55835.5
500	0.221901	-55829
600	0.221901	-55826.3
700	0.221901	-55865.8
800	0.221901	-55834.9
900	0.221901	-55817.9
1000	0.221901	-55839.3
300	0.193492	-55840.2
400	0.193492	-55823.5
500	0.193492	-55844.7
600	0.193492	-55843.6
700	0.193492	-55834.4
800	0.193492	-55823
900	0.193492	-55822.5
1000	0.193492	-55831.6
300	0.16807	-55837.8
400	0.16807	-55849.9
500	0.16807	-55844.8
600	0.16807	-55838.4
700	0.16807	-55828.9
800	0.16807	-55824.8
900	0.16807	-55820.7
1000	0.16807	-55843.6
300	0.145393	-55860.9
400	0.145393	-55833
500	0.145393	-55849.1
600	0.145393	-55839.8
700	0.145393	-55837.5
800	0.145393	-55834.7
900	0.145393	-55849
1000	0.145393	-55840.1
300	0.125233	-55833
