state	power	likelihood
300	1	-57754.5
400	1	-57746.4
500	1	-57748.6
600	1	-57752.6
700	1	-57743.6
800	1	-57742.7
900	1	-57745.9
1000	1	-57744.1
300	0.903921	-57749.2
400	0.903921	-57744.3
500	0.903921	-57745.7
600	0.903921	-57745.1
700	0.903921	-57745.1
800	0.903921	-57742.6
900	0.903921	-57750.3
1000	0.903921	-57747.4
300	0.815373	-57748.6
400	0.815373	-57750.4
500	0.815373	-57747.3
600	0.815373	-57752.9
700	0.815373	-57751.2
800	0.815373	-57748.6
900	0.815373	-57757.4
1000	0.815373	-57747.4
300	0.733904	-57749.5
400	0.733904	-57750.8
500	0.733904	-57752.7
600	0.733904	-57748.4
700	0.733904	-57755.3
800	0.733904	-57744.1
900	0.733904	-57757.3
1000	0.733904	-57746.8
300	0.659082	-57760.2
400	0.659082	-57750.8
500	0.659082	-57761.3
600	0.659082	-57750.3
700	0.659082	-57747.9
800	0.659082	-57750.7
900	0.659082	-57751.4
1000	0.659082	-57746.5
300	0.59049	-57748.1
400	0.59049	-57757.5
500	0.59049	-57754.9
600	0.59049	-57748.3
700	0.59049	-57750.2
800	0.59049	-57754.7
900	0.59049	-57745.1
1000	0.59049	-57750.3
300	0.527732	-57745.6
400	0.527732	-57754.2
500	0.527732	-57750.2
600	0.527732	-57753.5
700	0.527732	-57752.1
800	0.527732	-57747.9
900	0.527732	-57754.2
1000	0.527732	-57760
300	0.470427	-57747
400	0.470427	-57749.9
500	0.470427	-57758.2
600	0.470427	-57768.2
700	0.470427	-57764.5
800	0.470427	-57753.3
900	0.470427	-57749.3
1000	0.470427	-57765.9
300	0.418212	-57750.8
400	0.418212	-57748.4
500	0.418212	-57757.4
600	0.418212	-57753.9
700	0.418212	-57756.1
800	0.418212	-57765.9
900	0.418212	-57752.7
1000	0.418212	-57758.8
300	0.37074	-57769.5
400	0.37074	-57752.9
500	0.37074	-57760.7
600	0.37074	-57760.8
700	0.37074	-57752.9
800	0.37074	-57768.9
900	0.37074	-57760.2
1000	0.37074	-57753.3
300	0.32768	-57766.9
400	0.32768	-57762.6
500	0.32768	-57759.8
600	0.32768	-57757.4
700	0.32768	-57752.6
800	0.32768	-57751.8
900	0.32768	-57766.1
1000	0.32768	-57758.4
300	0.288717	-57765.1
400	0.288717	-57756.4
500	0.288717	-57756.1
600	0.288717	-57769.2
700	0.288717	-57768.3
800	0.288717	-57752.7
900	0.288717	-57753.6
1000	0.288717	-57780.2
300	0.253553	-57757.9
400	0.253553	-57766.5
500	0.253553	-57772.4
600	0.253553	-57759.8
700	0.253553	-57776.9
800	0.253553	-57787.9
900	0.253553	-57768.2
1000	0.253553	-57773.1
300	0.221901	-57766.9
400	0.221901	-57784.7
500	0.221901	-57782
600	0.221901	-57787.1
700	0.221901	-57760.7
800	0.221901	-57762.2
900	0.221901	-57788.9
1000	0.221901	-57778.1
300	0.193492	-57769.7
400	0.193492	-57759
500	0.193492	-57800.7
600	0.193492	-57780.7
700	0.193492	-57812.6
800	0.193492	-57785.4
900	0.193492	-57782.2
1000	0.193492	-57763.3
300	0.16807	-57767
400	0.16807	-57775.2
500	0.16807	-57772.5
600	0.16807	-57781.9
700	0.16807	-57787.1
800	0.16807	-57765.8
900	0.16807	-57777.4
1000	0.16807	-57776
300	0.145393	-57803.4
400	0.145393	-57773.9
500	0.145393	-57798.9
600	0.145393	-57817.3
700	0.145393	-57794.2
800	0.145393	-57772.8
900	0.145393	-57791.4
1000	0.145393	-57788.1
300	0.125233	-57801.8
400	0.125233	-57782.5
500	0.125233	-57790.8
600	0.125233	-57809.6
700	0.125233	-57793.9
800	0.125233	-57782.7
900	0.125233	-57797.5
1000	0.125233	-57782.7
300	0.107374	-57781.9
400	0.107374	-57781.9
500	0.107374	-57808.7
600	0.107374	-57829.3
700	0.107374	-57831.9
800	0.107374	-57818.8
900	0.107374	-57797.7
1000	0.107374	-57809.9
300	0.0916133	-57806.1
400	0.0916133	-57830.3
500	0.0916133	-57842.9
600	0.0916133	-57804.4
700	0.0916133	-57819.7
800	0.0916133	-57806.4
900	0.0916133	-57792.6
1000	0.0916133	-57851.9
300	0.07776	-57836.1
400	0.07776	-57828.7
500	0.07776	-57857.7
600	0.07776	-57855.5
700	0.07776	-57876.9
800	0.07776	-57800.3
900	0.07776	-57902.8
1000	0.07776	-57756.1
300	0.0656357	-57767
400	0.0656357	-57808.6
500	0.0656357	-58005.8
600	0.0656357	-57811.7
700	0.0656357	-57902
800	0.0656357	-57879.6
900	0.0656357	-57811.2
1000	0.0656357	-57872.8
300	0.0550732	-57800.2
400	0.0550732	-58006.9
500	0.0550732	-57878.4
600	0.0550732	-57867.1
700	0.0550732	-57841.3
800	0.0550732	-57848.7
900	0.0550732	-57872.8
1000	0.0550732	-57870.6
300	0.0459165	-57858.9
400	0.0459165	-57992.3
500	0.0459165	-57923.6
600	0.0459165	-57972.4
700	0.0459165	-57833.4
800	0.0459165	-57820
900	0.0459165	-57906.1
1000	0.0459165	-57809.3
300	0.0380204	-58015.8
400	0.0380204	-57924.4
500	0.0380204	-57898.8
600	0.0380204	-58036.9
700	0.0380204	-57865
800	0.0380204	-57891.8
900	0.0380204	-57857
1000	0.0380204	-57891
300	0.03125	-57985.3
400	0.03125	-58001.9
500	0.03125	-58149.7
600	0.03125	-57916.3
700	0.03125	-57845.3
800	0.03125	-58007.7
900	0.03125	-58048.3
1000	0.03125	-57921
300	0.0254804	-58150.8
400	0.0254804	-57828.9
500	0.0254804	-57849.7
600	0.0254804	-58056.5
700	0.0254804	-57957.3
800	0.0254804	-58199.2
900	0.0254804	-57928.4
1000	0.0254804	-57944.1
300	0.0205963	-58282
400	0.0205963	-58521.4
500	0.0205963	-57900.4
600	0.0205963	-58161.1
700	0.0205963	-58211.1
800	0.0205963	-57975
900	0.0205963	-58148.8
1000	0.0205963	-58107.5
300	0.0164916	-58062.4
400	0.0164916	-58119.2
500	0.0164916	-58272.2
600	0.0164916	-58817.2
700	0.0164916	-58040.8
800	0.0164916	-58209.6
900	0.0164916	-58018.6
1000	0.0164916	-58198
300	0.0130691	-58478.3
400	0.0130691	-58316.8
500	0.0130691	-58652.4
600	0.0130691	-59190.9
700	0.0130691	-58155.2
800	0.0130691	-58274.8
900	0.0130691	-58789.4
1000	0.0130691	-58197
300	0.01024	-58263
400	0.01024	-58029.2
500	0.01024	-58939.6
600	0.01024	-58247
700	0.01024	-58888.4
800	0.01024	-58420.3
900	0.01024	-58142.1
1000	0.01024	-58608.3
300	0.00792352	-58998
400	0.00792352	-58967.6
500	0.00792352	-58687.8
600	0.00792352	-58521.6
700	0.00792352	-58624.7
800	0.00792352	-58453.2
900	0.00792352	-59291.1
1000	0.00792352	-59245.2
300	0.00604662	-59240
400	0.00604662	-58635.4
500	0.00604662	-59064.7
600	0.00604662	-58824.1
700	0.00604662	-59292.2
800	0.00604662	-59096.4
900	0.00604662	-58918.5
1000	0.00604662	-59309.7
300	0.00454354	-59265.1
400	0.00454354	-58754.8
500	0.00454354	-59290.1
600	0.00454354	-59003.3
700	0.00454354	-59008.9
800	0.00454354	-59289.5
900	0.00454354	-59032.8
1000	0.00454354	-59237.6
300	0.00335544	-59465.4
400	0.00335544	-59452.3
500	0.00335544	-59195.3
600	0.00335544	-59146.3
700	0.00335544	-59150.5
800	0.00335544	-59768.4
900	0.00335544	-59755
1000	0.00335544	-60268.5
300	0.00243	-59393
400	0.00243	-60395
500	0.00243	-59629.1
600	0.00243	-60851.9
700	0.00243	-59795.1
800	0.00243	-59753.9
900	0.00243	-59630.9
1000	0.00243	-59969.3
