state	power	likelihood
300	1	-57746.2
400	1	-57742.3
500	1	-57745.4
600	1	-57741.3
700	1	-57743.6
800	1	-57738.4
900	1	-57744.2
1000	1	-57749.8
300	0.903921	-57740.8
400	0.903921	-57736.9
500	0.903921	-57752.6
600	0.903921	-57757.3
700	0.903921	-57748.5
800	0.903921	-57747.8
900	0.903921	-57749.6
1000	0.903921	-57745.7
300	0.815373	-57743.3
400	0.815373	-57749.4
500	0.815373	-57745.6
600	0.815373	-57741.4
700	0.815373	-57749.7
800	0.815373	-57738
900	0.815373	-57753.2
1000	0.815373	-57740.6
300	0.733904	-57745.7
400	0.733904	-57743.6
500	0.733904	-57743
600	0.733904	-57746
700	0.733904	-57748.8
800	0.733904	-57750.8
900	0.733904	-57740.1
1000	0.733904	-57742.5
300	0.59049	-57752.1
400	0.59049	-57753.5
500	0.59049	-57745.2
600	0.59049	-57744
700	0.59049	-57750.4
800	0.59049	-57754.1
900	0.59049	-57750.6
1000	0.59049	-57743
300	0.527732	-57762.6
400	0.527732	-57748
500	0.527732	-57751.6
600	0.527732	-57743.9
700	0.527732	-57753.9
800	0.527732	-57755.5
900	0.527732	-57764.3
1000	0.527732	-57758.4
300	0.470427	-57751.7
400	0.470427	-57752.6
500	0.470427	-57760
600	0.470427	-57760.7
700	0.470427	-57763.3
800	0.470427	-57756.9
900	0.470427	-57746
1000	0.470427	-57749.6
300	0.418212	-57763.8
400	0.418212	-57745
500	0.418212	-57760.1
600	0.418212	-57762.9
700	0.418212	-57756.3
800	0.418212	-57753.2
900	0.418212	-57758.4
1000	0.418212	-57762.2
300	0.37074	-57774.7
400	0.37074	-57750.8
500	0.37074	-57754.8
600	0.37074	-57756.2
700	0.37074	-57751.2
800	0.37074	-57749.9
900	0.37074	-57747.8
1000	0.37074	-57757.4
300	0.32768	-57755
400	0.32768	-57755.3
500	0.32768	-57774.7
600	0.32768	-57749
700	0.32768	-57750.1
800	0.32768	-57758.2
900	0.32768	-57760.4
